id	name	domain	sub	tier	tgt	heat	sig_date	sig_score	sig_cnt	owner
268070011606	Ionic Digital	ionic.digital	Crypto to AI - Neoclouds	tier_1	T	Cold				161889085
318121584335	ionstream	ionstream.ai	AI Infrastructure providers - 	tier_1		Cold				162339176
240444244684	Iris Energy (IREN)	iren.com	Crypto to AI - Neoclouds	tier_1	T	Warm	2026-06-01	33	1	159350430
297987984062	JarvisLabs	jarvislabs.ai	AI Infrastructure providers - 	tier_1		Cold				159350430
326532538071	Kakao Cloud	kakaocloud.com	Sovereign AI Clouds - Neocloud	tier_1	T	Warm	2026-04-15	30	0	159350430
300467292882	KDDI AI Cloud	kddi.com	Sovereign AI Clouds - Neocloud	tier_1	T	Cold				159350430
311386967793	Keel Infrastructure	keelinfra.com	Crypto to AI - Neoclouds	tier_1		Cold				161889085
303467192035	Koyeb	koyeb.com	Tier 1 Inference - Neocloud	tier_2		Cold				161889085
303399739102	Lambda	lambda.ai	Large Scale GPU - Neocloud	tier_1	T	Cool	2026-03-16	18	1	162339176
297918677723	Latitude.sh	latitude.sh	AI Infrastructure providers - 	tier_1	T	Cold				161889085
300724801231	Lightning AI	lightning.ai	Tier 1 Inference - Neocloud	tier_2		Cold				161889085
303397868271	Linode (Akamai)	linode.com	AI Infrastructure providers - 	tier_1		Cold				161889085
266984898241	Liquid Web	liquidweb.com	AI Infrastructure providers - 	tier_2	T	Cold				161889085
326585995981	LuxProvide	lxp.lu	Sovereign AI Clouds - Neocloud	tier_1		Cold				159350430
326733731547	Lyceum Technology	lyceum.technology	Sovereign AI Clouds - Neocloud	tier_2	T	Cold				159350430
297770284744	Marathon Digital	mara.com	Crypto to AI - Neoclouds	tier_1	T	Cool	2026-04-30			161889085
297782865626	Massed Compute	massedcompute.com	AI Infrastructure providers - 	tier_1		Cold				162339176
303423198925	Mawson Infrastructure	mawsoninc.com	Crypto to AI - Neoclouds	tier_1		Cold				161889085
326167978717	Micro Logic	micrologic.ca	Sovereign AI Clouds - Neocloud	tier_1	T	Cold				159350430
326167978715	Mistral Compute	mistral.ai	Sovereign AI Clouds - Neocloud	tier_1	T	Cold				159350430
297918677710	Modal	modal.com	Tier 1 Inference - Neocloud	tier_2		Cool	2026-05-21	12	1	161889085
311358187234	Moonshot Energy	moonshotus.com	Crypto to AI - Neoclouds	tier_1		Cold				162339176
326699605731	Nava	nava.com	AI Infrastructure providers - 	tier_1	T	Cold				159350430
